County,STATE,fips,Census,Estimates Base
Lowndes, Mississippi,28087,59779,59779
Madison, Mississippi,28089,95203,95203
Marion, Mississippi,28091,27088,27080
Marshall, Mississippi,28093,37144,37151
Monroe, Mississippi,28095,36989,36979
Montgomery, Mississippi,28097,10925,10933
Neshoba, Mississippi,28099,29676,29692
Newton, Mississippi,28101,21720,21715
Noxubee, Mississippi,28103,11545,11546
Oktibbeha, Mississippi,28105,47671,47657
Panola, Mississippi,28107,34707,34698
Pearl River, Mississippi,28109,55834,55739
Perry, Mississippi,28111,12250,12251
Pike, Mississippi,28113,40404,40401
Pontotoc, Mississippi,28115,29957,29946
Prentiss, Mississippi,28117,25276,25274
Quitman, Mississippi,28119,8223,8222
Rankin, Mississippi,28121,141617,142052
Scott, Mississippi,28123,28264,28260
Sharkey, Mississippi,28125,4916,4916
Simpson, Mississippi,28127,27503,27500
Smith, Mississippi,28129,16491,16488
Stone, Mississippi,28131,17786,17790
Sunflower, Mississippi,28133,29450,29383
Tallahatchie, Mississippi,28135,15378,15385
Tate, Mississippi,28137,28886,28872
Tippah, Mississippi,28139,22232,22232
Tishomingo, Mississippi,28141,19593,19603
Tunica, Mississippi,28143,10778,10778
Union, Mississippi,28145,27134,27143
Walthall, Mississippi,28147,15443,15440
Warren, Mississippi,28149,48773,48770
Washington, Mississippi,28151,51137,51135
Wayne, Mississippi,28153,20747,20747
Webster, Mississippi,28155,10253,10264
Wilkinson, Mississippi,28157,9878,9878
Winston, Mississippi,28159,19198,19201
Yalobusha, Mississippi,28161,12678,12678
Yazoo, Mississippi,28163,28065,28065
Adair, Missouri,29001,25607,25606
Andrew, Missouri,29003,17291,17296
Atchison, Missouri,29005,5685,5683
Audrain, Missouri,29007,25529,25531
Barry, Missouri,29009,35597,35601
Barton, Missouri,29011,12402,12396
Bates, Missouri,29013,17049,17047
Benton, Missouri,29015,19056,19057
Bollinger, Missouri,29017,12363,12358
Boone, Missouri,29019,162642,162652
Buchanan, Missouri,29021,89201,89191
Butler, Missouri,29023,42794,42792
Caldwell, Missouri,29025,9424,9418
Callaway, Missouri,29027,44332,44331
Camden, Missouri,29029,44002,44016
Cape Girardeau, Missouri,29031,75674,75674
Carroll, Missouri,29033,9295,9294
Carter, Missouri,29035,6265,6267
Cass, Missouri,29037,99478,99500
Cedar, Missouri,29039,13982,13982
Chariton, Missouri,29041,7831,7811
Christian, Missouri,29043,77422,77414
Clark, Missouri,29045,7139,7129
Clay, Missouri,29047,221939,221906
Clinton, Missouri,29049,20743,20743
Cole, Missouri,29051,75990,75975
Cooper, Missouri,29053,17601,17604
Crawford, Missouri,29055,24696,24719
Dade, Missouri,29057,7883,7879
Dallas, Missouri,29059,16777,16769
Daviess, Missouri,29061,8433,8429
DeKalb, Missouri,29063,12892,12884
Dent, Missouri,29065,15657,15692
Douglas, Missouri,29067,13684,13686
Dunklin, Missouri,29069,31953,31957
Franklin, Missouri,29071,101492,101468
Gasconade, Missouri,29073,15222,15206
Gentry, Missouri,29075,6738,6740
Greene, Missouri,29077,275174,275179
Grundy, Missouri,29079,10261,10260
Harrison, Missouri,29081,8957,8961
Henry, Missouri,29083,22272,22291
Hickory, Missouri,29085,9627,9629
Holt, Missouri,29087,4912,4912
Howard, Missouri,29089,10144,10142
Howell, Missouri,29091,40400,40386
Iron, Missouri,29093,10630,10615
Jackson, Missouri,29095,674158,674166
Jasper, Missouri,29097,117404,117391
Jefferson, Missouri,29099,218733,218722
Johnson, Missouri,29101,52595,52565
Knox, Missouri,29103,4131,4131
Laclede, Missouri,29105,35571,35596
Lafayette, Missouri,29107,33381,33369
Lawrence, Missouri,29109,38634,38647
Lewis, Missouri,29111,10211,10209
Lincoln, Missouri,29113,52566,52536
Linn, Missouri,29115,12761,12773
Livingston, Missouri,29117,15195,15196
McDonald, Missouri,29119,23083,23083
Macon, Missouri,29121,15566,15566
Madison, Missouri,29123,12226,12217
Maries, Missouri,29125,9176,9153
Marion, Missouri,29127,28781,28781
Mercer, Missouri,29129,3785,3785
Miller, Missouri,29131,24748,24748
Mississippi, Missouri,29133,14358,14376
Moniteau, Missouri,29135,15607,15605
Monroe, Missouri,29137,8840,8844
Montgomery, Missouri,29139,12236,12224
Morgan, Missouri,29141,20565,20567
New Madrid, Missouri,29143,18956,18940
Newton, Missouri,29145,58114,58118
Nodaway, Missouri,29147,23370,23373
Oregon, Missouri,29149,10881,10881
Osage, Missouri,29151,13878,13909
Ozark, Missouri,29153,9723,9728
Pemiscot, Missouri,29155,18296,18287
Perry, Missouri,29157,18971,18971
Pettis, Missouri,29159,42201,42214
Phelps, Missouri,29161,45156,45124
Pike, Missouri,29163,18516,18511
Platte, Missouri,29165,89322,89329
Polk, Missouri,29167,31137,31130
Pulaski, Missouri,29169,52274,52282
Putnam, Missouri,29171,4979,4979
Ralls, Missouri,29173,10167,10175
Randolph, Missouri,29175,25414,25418
Ray, Missouri,29177,23494,23516
Reynolds, Missouri,29179,6696,6690
Ripley, Missouri,29181,14100,14106
St. Charles, Missouri,29183,360485,360495
St. Clair, Missouri,29185,9805,9805
St. Francois, Missouri,29187,65359,65369
St. Louis, Missouri,29189,998954,998985
Saline, Missouri,29195,23370,23370
Schuyler, Missouri,29197,4431,4431
Scotland, Missouri,29199,4843,4853
Scott, Missouri,29201,39191,39199
Shannon, Missouri,29203,8441,8435
Shelby, Missouri,29205,6373,6372
Stoddard, Missouri,29207,29968,29968
Stone, Missouri,29209,32202,32208
Sullivan, Missouri,29211,6714,6714
Taney, Missouri,29213,51675,51672
Texas, Missouri,29215,26008,26016
Vernon, Missouri,29217,21159,21163
Warren, Missouri,29219,32513,32539
Washington, Missouri,29221,25195,25201
Wayne, Missouri,29223,13521,13535
Webster, Missouri,29225,36202,36264
Worth, Missouri,29227,2171,2169
Wright, Missouri,29229,18815,18742
St. Louis city, Missouri,29510,319294,319289
Beaverhead, Montana,30001,9246,9246
Big Horn, Montana,30003,12865,12863
Blaine, Montana,30005,6491,6491
Broadwater, Montana,30007,5612,5608
Carbon, Montana,30009,10078,10078
Carter, Montana,30011,1160,1160
Cascade, Montana,30013,81327,81326
Chouteau, Montana,30015,5813,5813
Custer, Montana,30017,11699,11699
Daniels, Montana,30019,1751,1751
Dawson, Montana,30021,8966,8963
Deer Lodge, Montana,30023,9298,9294
Fallon, Montana,30025,2890,2890
Fergus, Montana,30027,11586,11590
Flathead, Montana,30029,90928,90927
Gallatin, Montana,30031,89513,89515
Garfield, Montana,30033,1206,1209
Glacier, Montana,30035,13399,13399
Golden Valley, Montana,30037,884,884
Granite, Montana,30039,3079,3074
Hill, Montana,30041,16096,16096
Jefferson, Montana,30043,11406,11403
Judith Basin, Montana,30045,2072,2072
Lake, Montana,30047,28746,28748
Lewis and Clark, Montana,30049,63395,63394
Liberty, Montana,30051,2339,2339
Lincoln, Montana,30053,19687,19683
McCone, Montana,30055,1734,1734
Madison, Montana,30057,7691,7691
Meagher, Montana,30059,1891,1891
Mineral, Montana,30061,4223,4229
Missoula, Montana,30063,109299,109296
Musselshell, Montana,30065,4538,4538
Park, Montana,30067,15636,15635
Petroleum, Montana,30069,494,488
Phillips, Montana,30071,4253,4252
Pondera, Montana,30073,6153,6155
Powder River, Montana,30075,1743,1743
Powell, Montana,30077,7027,7034
Prairie, Montana,30079,1179,1179
Ravalli, Montana,30081,40212,40210
Richland, Montana,30083,9746,9746
Roosevelt, Montana,30085,10425,10425
Rosebud, Montana,30087,9233,9235
Sanders, Montana,30089,11413,11413
Sheridan, Montana,30091,3384,3384
Silver Bow, Montana,30093,34200,34209
Stillwater, Montana,30095,9117,9096
Sweet Grass, Montana,30097,3651,3651
Teton, Montana,30099,6073,6071
Toole, Montana,30101,5324,5324
Treasure, Montana,30103,718,718
Valley, Montana,30105,7369,7369
Wheatland, Montana,30107,2168,2168
Wibaux, Montana,30109,1017,1017
Yellowstone, Montana,30111,147972,147991
Adams, Nebraska,31001,31364,31367
Antelope, Nebraska,31003,6685,6685
Arthur, Nebraska,31005,460,460
Banner, Nebraska,31007,690,690
Blaine, Nebraska,31009,478,478
Boone, Nebraska,31011,5505,5505
Box Butte, Nebraska,31013,11308,11308
Boyd, Nebraska,31015,2099,2099
Brown, Nebraska,31017,3145,3143
Buffalo, Nebraska,31019,46102,46099
Burt, Nebraska,31021,6858,6858
Butler, Nebraska,31023,8395,8395
Cass, Nebraska,31025,25241,25241
Cedar, Nebraska,31027,8852,8852
Chase, Nebraska,31029,3966,3966
Cherry, Nebraska,31031,5713,5713
Cheyenne, Nebraska,31033,9998,9998
Clay, Nebraska,31035,6542,6539
Colfax, Nebraska,31037,10515,10515
Cuming, Nebraska,31039,9139,9139
Custer, Nebraska,31041,10939,10939
Dakota, Nebraska,31043,21006,21006
Dawes, Nebraska,31045,9182,9182
Dawson, Nebraska,31047,24326,24326
Deuel, Nebraska,31049,1941,1932
Dixon, Nebraska,31051,6000,6003
Dodge, Nebraska,31053,36691,36685
Douglas, Nebraska,31055,517110,517116
Dundy, Nebraska,31057,2008,2008
Fillmore, Nebraska,31059,5890,5890
Franklin, Nebraska,31061,3225,3225
Frontier, Nebraska,31063,2756,2756
Furnas, Nebraska,31065,4959,4959
Gage, Nebraska,31067,22311,22311
Garden, Nebraska,31069,2057,2057
Garfield, Nebraska,31071,2049,2049
Gosper, Nebraska,31073,2044,2044
Grant, Nebraska,31075,614,614
Greeley, Nebraska,31077,2538,2538
Hall, Nebraska,31079,58607,58611
Hamilton, Nebraska,31081,9124,9114
Harlan, Nebraska,31083,3423,3417
Hayes, Nebraska,31085,967,960
Hitchcock, Nebraska,31087,2908,2908
Holt, Nebraska,31089,10435,10435
Hooker, Nebraska,31091,736,736
Howard, Nebraska,31093,6274,6274
Jefferson, Nebraska,31095,7547,7547
Johnson, Nebraska,31097,5217,5217
Kearney, Nebraska,31099,6489,6489
Keith, Nebraska,31101,8368,8371
Keya Paha, Nebraska,31103,824,824
Kimball, Nebraska,31105,3821,3821
Knox, Nebraska,31107,8701,8701
Lancaster, Nebraska,31109,285407,285407
Lincoln, Nebraska,31111,36288,36288
Logan, Nebraska,31113,763,763
Loup, Nebraska,31115,632,628
McPherson, Nebraska,31117,539,539
Madison, Nebraska,31119,34876,34876
Merrick, Nebraska,31121,7845,7859
Morrill, Nebraska,31123,5042,5042
Nance, Nebraska,31125,3735,3735
Nemaha, Nebraska,31127,7248,7248
Nuckolls, Nebraska,31129,4500,4500
Otoe, Nebraska,31131,15740,15740
Pawnee, Nebraska,31133,2773,2773
Perkins, Nebraska,31135,2970,2967
Phelps, Nebraska,31137,9188,9188
Pierce, Nebraska,31139,7266,7266
Platte, Nebraska,31141,32237,32237
Polk, Nebraska,31143,5406,5402
Red Willow, Nebraska,31145,11055,11055
Richardson, Nebraska,31147,8363,8363
Rock, Nebraska,31149,1526,1528
Saline, Nebraska,31151,14200,14200
Sarpy, Nebraska,31153,158840,158835
Saunders, Nebraska,31155,20780,20778
Scotts Bluff, Nebraska,31157,36970,36970
Seward, Nebraska,31159,16750,16750
Sheridan, Nebraska,31161,5469,5469
Sherman, Nebraska,31163,3152,3152
Sioux, Nebraska,31165,1311,1311
Stanton, Nebraska,31167,6129,6128
Thayer, Nebraska,31169,5228,5228
Thomas, Nebraska,31171,647,647
Thurston, Nebraska,31173,6940,6939
Valley, Nebraska,31175,4260,4260
Washington, Nebraska,31177,20234,20232
Wayne, Nebraska,31179,9595,9592
Webster, Nebraska,31181,3812,3812
Wheeler, Nebraska,31183,818,818
York, Nebraska,31185,13665,13665
Churchill, Nevada,32001,24877,24875
Clark, Nevada,32003,1951269,1951268
Douglas, Nevada,32005,46997,47000
Elko, Nevada,32007,48818,48942
Esmeralda, Nevada,32009,783,784
Eureka, Nevada,32011,1987,1987
Humboldt, Nevada,32013,16528,16521
Lander, Nevada,32015,5775,5775
Lincoln, Nevada,32017,5345,5339
Lyon, Nevada,32019,51980,51982
Mineral, Nevada,32021,4772,4770
Nye, Nevada,32023,43946,43945
Pershing, Nevada,32027,6753,6752
Storey, Nevada,32029,4010,4013
Washoe, Nevada,32031,421407,421429
White Pine, Nevada,32033,10030,10026
Carson City, Nevada,32510,55274,55269
Belknap, New Hampshire,33001,60088,60075
Carroll, New Hampshire,33003,47818,47823
Cheshire, New Hampshire,33005,77117,77122
Coos, New Hampshire,33007,33055,33052
Grafton, New Hampshire,33009,89118,89139
Hillsborough, New Hampshire,33011,400721,400706
Merrimack, New Hampshire,33013,146445,146451
Rockingham, New Hampshire,33015,295223,295204
Strafford, New Hampshire,33017,123143,123151
Sullivan, New Hampshire,33019,43742,43739
Atlantic, New Jersey,34001,274549,274525
Bergen, New Jersey,34003,905116,905107
Burlington, New Jersey,34005,448734,448730
Camden, New Jersey,34007,513657,513535
Cape May, New Jersey,34009,97265,97257
Cumberland, New Jersey,34011,156898,156627
Essex, New Jersey,34013,783969,783891
Gloucester, New Jersey,34015,288288,288756
Hudson, New Jersey,34017,634266,634284
Hunterdon, New Jersey,34019,128349,127361
Mercer, New Jersey,34021,366513,367485
Middlesex, New Jersey,34023,809858,810038
Monmouth, New Jersey,34025,630380,630362
Morris, New Jersey,34027,492276,492281
Ocean, New Jersey,34029,576567,576546
Passaic, New Jersey,34031,501226,501600
Salem, New Jersey,34033,66083,66072
Somerset, New Jersey,34035,323444,323479
Sussex, New Jersey,34037,149265,148936
Union, New Jersey,34039,536499,536464
Warren, New Jersey,34041,108692,108642
Bernalillo, New Mexico,35001,662564,662477
Catron, New Mexico,35003,3725,3727
Chaves, New Mexico,35005,65645,65648
Cibola, New Mexico,35006,27213,27215
Colfax, New Mexico,35007,13750,13751
Curry, New Mexico,35009,48376,48376
De Baca, New Mexico,35011,2022,2024
Eddy, New Mexico,35015,53829,53828
Grant, New Mexico,35017,29514,29512
Guadalupe, New Mexico,35019,4687,4688
Harding, New Mexico,35021,695,695
Hidalgo, New Mexico,35023,4894,4898
Lea, New Mexico,35025,64727,64726
Lincoln, New Mexico,35027,20497,20493
Los Alamos, New Mexico,35028,17950,17950
Luna, New Mexico,35029,25095,25095
McKinley, New Mexico,35031,71492,71485
Mora, New Mexico,35033,4881,4881
Otero, New Mexico,35035,63797,63832
Quay, New Mexico,35037,9041,9040
Rio Arriba, New Mexico,35039,40246,40220
Roosevelt, New Mexico,35041,19846,19840
Sandoval, New Mexico,35043,131561,131621
San Juan, New Mexico,35045,130044,130045
San Miguel, New Mexico,35047,29393,29375
Santa Fe, New Mexico,35049,144170,144232
Sierra, New Mexico,35051,11988,11996
Socorro, New Mexico,35053,17866,17861
Taos, New Mexico,35055,32937,32933
Torrance, New Mexico,35057,16383,16380
Union, New Mexico,35059,4549,4553
Valencia, New Mexico,35061,76569,76585
Albany, New York,36001,304204,304208
Allegany, New York,36003,48946,48923
Broome, New York,36007,200600,200675
Cattaraugus, New York,36009,80317,80337
Cayuga, New York,36011,80026,80008
Chautauqua, New York,36013,134905,134907
Chemung, New York,36015,88830,88847
Chenango, New York,36017,50477,50511
Clinton, New York,36019,82128,82131
Columbia, New York,36021,63096,63066
Cortland, New York,36023,49336,49290
Delaware, New York,36025,47980,47962
Dutchess, New York,36027,297488,297454
Erie, New York,36029,919040,919134
Essex, New York,36031,39370,39373
Franklin, New York,36033,51599,51601
Fulton, New York,36035,55531,55513
Genesee, New York,36037,60079,59934
Greene, New York,36039,49221,49214
Hamilton, New York,36041,4836,4841
Herkimer, New York,36043,64519,64469
Jefferson, New York,36045,116229,116232
Lewis, New York,36049,27087,27090
Livingston, New York,36051,65393,65206
Madison, New York,36053,73442,73452
Monroe, New York,36055,744344,744394
Montgomery, New York,36057,50219,50264
Nassau, New York,36059,1339532,1339880
New York City, New York,36061,1585873,1586381
Niagara, New York,36063,216469,216480
Oneida, New York,36065,234878,234860
Onondaga, New York,36067,467026,467067
Ontario, New York,36069,107931,108099
Orange, New York,36071,372813,372826
Orleans, New York,36073,42883,42890
Oswego, New York,36075,122109,122105
Otsego, New York,36077,62259,62278
Putnam, New York,36079,99710,99654
Rensselaer, New York,36083,159429,159433
Rockland, New York,36087,311687,311691
St. Lawrence, New York,36089,111944,111940
Saratoga, New York,36091,219607,219598
Schenectady, New York,36093,154727,154751
Schoharie, New York,36095,32749,32723
Schuyler, New York,36097,18343,18362
Seneca, New York,36099,35251,35248
Steuben, New York,36101,98990,98982
Suffolk, New York,36103,1493350,1493116
Sullivan, New York,36105,77547,77501
Tioga, New York,36107,51125,51049
Tompkins, New York,36109,101564,101592
Ulster, New York,36111,182493,182519
Warren, New York,36113,65707,65692
Washington, New York,36115,63216,63254
Wayne, New York,36117,93772,93751
Westchester, New York,36119,949113,949218
Wyoming, New York,36121,42155,42154
Yates, New York,36123,25348,25364
Alamance, North Carolina,37001,151131,151155
Alexander, North Carolina,37003,37198,37182
Alleghany, North Carolina,37005,11155,11152
Anson, North Carolina,37007,26948,26929
Ashe, North Carolina,37009,27281,27240
Avery, North Carolina,37011,17797,17807
Beaufort, North Carolina,37013,47759,47784
Bertie, North Carolina,37015,21282,21275
Bladen, North Carolina,37017,35190,35170
Brunswick, North Carolina,37019,107431,107429
Buncombe, North Carolina,37021,238318,238330
Burke, North Carolina,37023,90912,90837
Cabarrus, North Carolina,37025,178011,178121
Caldwell, North Carolina,37027,83029,83058
Camden, North Carolina,37029,9980,9980
Carteret, North Carolina,37031,66469,66463
Caswell, North Carolina,37033,23719,23731
Catawba, North Carolina,37035,154358,154717
Chatham, North Carolina,37037,63505,63485
Cherokee, North Carolina,37039,27444,27447
Chowan, North Carolina,37041,14793,14793
Clay, North Carolina,37043,10587,10590
Cleveland, North Carolina,37045,98078,98032
Columbus, North Carolina,37047,58098,58124
Craven, North Carolina,37049,103505,103498
Cumberland, North Carolina,37051,319431,319431
Currituck, North Carolina,37053,23547,23547
Dare, North Carolina,37055,33920,33920
Davidson, North Carolina,37057,162878,162822
Davie, North Carolina,37059,41240,41221
Duplin, North Carolina,37061,58505,58417
Durham, North Carolina,37063,267587,270001
Edgecombe, North Carolina,37065,56552,56539
Forsyth, North Carolina,37067,350670,350638
Franklin, North Carolina,37069,60619,60563
Gaston, North Carolina,37071,206086,206098
Gates, North Carolina,37073,12197,12185
Graham, North Carolina,37075,8861,8858
Granville, North Carolina,37077,59916,57538
Greene, North Carolina,37079,21362,21353
Guilford, North Carolina,37081,488406,488454
Halifax, North Carolina,37083,54691,54624
Harnett, North Carolina,37085,114678,114691
Haywood, North Carolina,37087,59036,59032
Henderson, North Carolina,37089,106740,106719
Hertford, North Carolina,37091,24669,24677
Hoke, North Carolina,37093,46952,46889
Hyde, North Carolina,37095,5810,5817
Iredell, North Carolina,37097,159437,159464
Jackson, North Carolina,37099,40271,40270
Johnston, North Carolina,37101,168878,168878
Jones, North Carolina,37103,10153,10167
Lee, North Carolina,37105,57866,57849
Lenoir, North Carolina,37107,59495,59507
Lincoln, North Carolina,37109,78265,78014
McDowell, North Carolina,37111,44996,45002
Macon, North Carolina,37113,33922,33925
Madison, North Carolina,37115,20764,20782
Martin, North Carolina,37117,24505,24515
Mecklenburg, North Carolina,37119,919628,919664
Mitchell, North Carolina,37121,15579,15581
Montgomery, North Carolina,37123,27798,27782
Moore, North Carolina,37125,88247,88250
Nash, North Carolina,37127,95840,95829
New Hanover, North Carolina,37129,202667,202683
Northampton, North Carolina,37131,22099,22106
Onslow, North Carolina,37133,177772,177801
Orange, North Carolina,37135,133801,133693
Pamlico, North Carolina,37137,13144,13143
Pasquotank, North Carolina,37139,40661,40661
Pender, North Carolina,37141,52217,52196
Perquimans, North Carolina,37143,13453,13452
Person, North Carolina,37145,39464,39476
Pitt, North Carolina,37147,168148,168176
Polk, North Carolina,37149,20510,20516
Randolph, North Carolina,37151,141752,141824
Richmond, North Carolina,37153,46639,46647
Robeson, North Carolina,37155,134168,134229
Rockingham, North Carolina,37157,93643,93645
Rowan, North Carolina,37159,138428,138494
Rutherford, North Carolina,37161,67810,67819
Sampson, North Carolina,37163,63431,63471
Scotland, North Carolina,37165,36157,36160
Stanly, North Carolina,37167,60585,60586
Stokes, North Carolina,37169,47401,47413
Surry, North Carolina,37171,73673,73749
Swain, North Carolina,37173,13981,13978
Transylvania, North Carolina,37175,33090,33089
Tyrrell, North Carolina,37177,4407,4407
Union, North Carolina,37179,201292,201332
Vance, North Carolina,37181,45422,45408
Wake, North Carolina,37183,900993,901052
Warren, North Carolina,37185,20972,21028
Washington, North Carolina,37187,13228,13193
Watauga, North Carolina,37189,51079,51061
Wayne, North Carolina,37191,122623,122661
Wilkes, North Carolina,37193,69340,69310
Wilson, North Carolina,37195,81234,81224
Yadkin, North Carolina,37197,38406,38409
Yancey, North Carolina,37199,17818,17817
Adams, North Dakota,38001,2343,2343
Barnes, North Dakota,38003,11066,11064
Benson, North Dakota,38005,6660,6660
Billings, North Dakota,38007,783,784
Bottineau, North Dakota,38009,6429,6429
Bowman, North Dakota,38011,3151,3151
Burke, North Dakota,38013,1968,1968
Burleigh, North Dakota,38015,81308,81308
Cass, North Dakota,38017,149778,149778
Cavalier, North Dakota,38019,3993,3994
Dickey, North Dakota,38021,5289,5287
Divide, North Dakota,38023,2071,2071
Dunn, North Dakota,38025,3536,3536
Eddy, North Dakota,38027,2385,2385
Emmons, North Dakota,38029,3550,3545
Foster, North Dakota,38031,3343,3337
Golden Valley, North Dakota,38033,1680,1680
Grand Forks, North Dakota,38035,66861,66864
Grant, North Dakota,38037,2394,2394
Griggs, North Dakota,38039,2420,2421
Hettinger, North Dakota,38041,2477,2478
Kidder, North Dakota,38043,2435,2435
LaMoure, North Dakota,38045,4139,4141
Logan, North Dakota,38047,1990,1988
McHenry, North Dakota,38049,5395,5392
McIntosh, North Dakota,38051,2809,2813
McKenzie, North Dakota,38053,6360,6359
McLean, North Dakota,38055,8962,8962
Mercer, North Dakota,38057,8424,8424
Morton, North Dakota,38059,27471,27469
Mountrail, North Dakota,38061,7673,7663
Nelson, North Dakota,38063,3126,3126
Oliver, North Dakota,38065,1846,1848
Pembina, North Dakota,38067,7413,7403
Pierce, North Dakota,38069,4357,4359
Ramsey, North Dakota,38071,11451,11451
Ransom, North Dakota,38073,5457,5457
Renville, North Dakota,38075,2470,2470
Richland, North Dakota,38077,16321,16321
Rolette, North Dakota,38079,13937,13939
Sargent, North Dakota,38081,3829,3829
Sheridan, North Dakota,38083,1321,1321
Sioux, North Dakota,38085,4153,4154
Slope, North Dakota,38087,727,727
Stark, North Dakota,38089,24199,24199
Steele, North Dakota,38091,1975,1975
Stutsman, North Dakota,38093,21100,21100
Towner, North Dakota,38095,2246,2246
Traill, North Dakota,38097,8121,8121
Walsh, North Dakota,38099,11119,11126
Ward, North Dakota,38101,61675,61675
Wells, North Dakota,38103,4207,4207
Williams, North Dakota,38105,22398,22399
Adams, Ohio,39001,28550,28541
Allen, Ohio,39003,106331,106313
Ashland, Ohio,39005,53139,53140
Ashtabula, Ohio,39007,101497,101489
Athens, Ohio,39009,64757,64764
Auglaize, Ohio,39011,45949,45917
Belmont, Ohio,39013,70400,70400
Brown, Ohio,39015,44846,44826
Butler, Ohio,39017,368130,368136
Carroll, Ohio,39019,28836,28834
Champaign, Ohio,39021,40097,40101
Clark, Ohio,39023,138333,138339
Clermont, Ohio,39025,197363,197366
Clinton, Ohio,39027,42040,42048
Columbiana, Ohio,39029,107841,107852
Coshocton, Ohio,39031,36901,36900
Crawford, Ohio,39033,43784,43783
Cuyahoga, Ohio,39035,1280122,1280114
Darke, Ohio,39037,52959,52968
Defiance, Ohio,39039,39037,39026
Delaware, Ohio,39041,174214,174172
Erie, Ohio,39043,77079,77063
Fairfield, Ohio,39045,146156,146194
Fayette, Ohio,39047,29030,29034
Franklin, Ohio,39049,1163414,1163476
Fulton, Ohio,39051,42698,42698
Gallia, Ohio,39053,30934,30942
Geauga, Ohio,39055,93389,93405
Greene, Ohio,39057,161573,161577
Guernsey, Ohio,39059,40087,40092
Hamilton, Ohio,39061,802374,802371
Hancock, Ohio,39063,74782,74789
Hardin, Ohio,39065,32058,32063
Harrison, Ohio,39067,15864,15860
Henry, Ohio,39069,28215,28215
Highland, Ohio,39071,43589,43606
Hocking, Ohio,39073,29380,29369
Holmes, Ohio,39075,42366,42363
Huron, Ohio,39077,59626,59623
Jackson, Ohio,39079,33225,33219
Jefferson, Ohio,39081,69709,69716
Knox, Ohio,39083,60921,60928
Lake, Ohio,39085,230041,230051
Lawrence, Ohio,39087,62450,62448
Licking, Ohio,39089,166492,166482
Logan, Ohio,39091,45858,45848
Lorain, Ohio,39093,301356,301374
Lucas, Ohio,39095,441815,441815
Madison, Ohio,39097,43435,43438
Mahoning, Ohio,39099,238823,238787
Marion, Ohio,39101,66501,66505
Medina, Ohio,39103,172332,172333
Meigs, Ohio,39105,23770,23767
Mercer, Ohio,39107,40814,40816
Miami, Ohio,39109,102506,102503
Monroe, Ohio,39111,14642,14631
Montgomery, Ohio,39113,535153,535200
Morgan, Ohio,39115,15054,15044
Morrow, Ohio,39117,34827,34825
Muskingum, Ohio,39119,86074,86086
Noble, Ohio,39121,14645,14655
Ottawa, Ohio,39123,41428,41433
Paulding, Ohio,39125,19614,19610
Perry, Ohio,39127,36058,36037
Pickaway, Ohio,39129,55698,55684
Pike, Ohio,39131,28709,28571
Portage, Ohio,39133,161419,161424
Preble, Ohio,39135,42270,42254
Putnam, Ohio,39137,34499,34496
Richland, Ohio,39139,124475,124474
Ross, Ohio,39141,78064,78076
Sandusky, Ohio,39143,60944,60946
Scioto, Ohio,39145,79499,79650
Seneca, Ohio,39147,56745,56742
Shelby, Ohio,39149,49423,49455
Stark, Ohio,39151,375586,375591
Summit, Ohio,39153,541781,541772
Trumbull, Ohio,39155,210312,210332
Tuscarawas, Ohio,39157,92582,92585
Union, Ohio,39159,52300,52331
Van Wert, Ohio,39161,28744,28759
Vinton, Ohio,39163,13435,13430
Warren, Ohio,39165,212693,212798
Washington, Ohio,39167,61778,61787
Wayne, Ohio,39169,114520,114516
Williams, Ohio,39171,37642,37652
Wood, Ohio,39173,125488,125489
Wyandot, Ohio,39175,22615,22617
Adair, Oklahoma,40001,22683,22668
Alfalfa, Oklahoma,40003,5642,5639
Atoka, Oklahoma,40005,14182,14165
Beaver, Oklahoma,40007,5636,5636
Beckham, Oklahoma,40009,22119,22119
Blaine, Oklahoma,40011,11943,11943
Bryan, Oklahoma,40013,42416,42416
Caddo, Oklahoma,40015,29600,29598
Canadian, Oklahoma,40017,115541,115566
Carter, Oklahoma,40019,47557,47729
Cherokee, Oklahoma,40021,46987,46992
Choctaw, Oklahoma,40023,15205,15199
Cimarron, Oklahoma,40025,2475,2475
Cleveland, Oklahoma,40027,255755,255990
Coal, Oklahoma,40029,5925,5927
Comanche, Oklahoma,40031,124098,124098
Cotton, Oklahoma,40033,6193,6190
Craig, Oklahoma,40035,15029,15027
Creek, Oklahoma,40037,69967,69992
Custer, Oklahoma,40039,27469,27540
Delaware, Oklahoma,40041,41487,41498
Dewey, Oklahoma,40043,4810,4810
Ellis, Oklahoma,40045,4151,4151
Garfield, Oklahoma,40047,60580,60580
Garvin, Oklahoma,40049,27576,27571
Grady, Oklahoma,40051,52431,52430
Grant, Oklahoma,40053,4527,4532
Greer, Oklahoma,40055,6239,6239
Harmon, Oklahoma,40057,2922,2922
Harper, Oklahoma,40059,3685,3682
Haskell, Oklahoma,40061,12769,12775
Hughes, Oklahoma,40063,14003,14000
Jackson, Oklahoma,40065,26446,26446
Jefferson, Oklahoma,40067,6472,6472
Johnston, Oklahoma,40069,10957,10957
Kay, Oklahoma,40071,46562,46562
Kingfisher, Oklahoma,40073,15034,15025
Kiowa, Oklahoma,40075,9446,9446
Latimer, Oklahoma,40077,11154,11156
Le Flore, Oklahoma,40079,50384,50382
Lincoln, Oklahoma,40081,34273,34274
